"","X","Country","code","infect","nofood","cancer","pop","gdppc","cancerpop","infectpop","nofoodpop","cancer.r.val","infect.r.value","nofood.r.value","gdppcc","infectpopc","cancerpopc","nofoodpopc"
"114",114,"Pakistan",586,187.7856386,7.062692486,100.3998641,179424.643,972.5973129,0.000559566,0.001046599,3.94e-05,NA,NA,NA,"Low","Medium","Medium","Medium"
"115",115,"Panama",591,1.470475996,0.16738954,2.90442983,3642.691,8082.025049,0.000797331,0.000403678,4.6e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"116",116,"Papua New Guinea",598,14.28226432,0.361096988,5.179728365,7310.512,1949.352741,0.000708532,0.001953661,4.94e-05,NA,NA,NA,"MediumLow","High","Medium","Medium"
"117",117,"Paraguay",600,1.600898567,0.259566633,4.779093434,6248.017,4359.629748,0.000764898,0.000256225,4.15e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"118",118,"Peru",604,8.633131695,2.058299968,25.3744591,29027.68,5082.309782,0.000874147,0.00029741,7.09e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"119",119,"Philippines",608,58.71918255,5.941942076,59.24253508,93966.784,2124.058456,0.000630463,0.000624893,6.32e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"120",120,"Poland",616,2.90540903,0.177248517,98.36125827,38329.784,12505.19695,0.002566183,7.58e-05,4.62e-06,NA,NA,NA,"High","Low","High","Low"
"121",121,"Portugal",620,2.691674334,0.279056676,27.6219703,10596.055,22449.94396,0.002606816,0.000254026,2.63e-05,NA,NA,NA,"High","Medium","High","Medium"
"122",122,"Qatar",634,0.027841058,0.000606388,0.475412477,1856.329,67403.19425,0.000256104,1.5e-05,3.27e-07,NA,NA,NA,"High","Low","Low","Low"
"123",123,"Republic of Korea",410,7.74426501,0.345396802,78.87827722,49545.638,23091.17552,0.001592033,0.000156306,6.97e-06,NA,NA,NA,"High","Medium","Medium","Medium"
"124",124,"Republic of Moldova",498,0.904073374,0.007044429,6.499514903,4086.09,1707.01031,0.001590644,0.000221256,1.72e-06,NA,NA,NA,"MediumLow","Medium","Medium","Low"
"125",125,"Romania",642,2.644595004,0.118767061,47.83541115,20471.86,8119.689548,0.002336642,0.000129182,5.8e-06,NA,NA,NA,"MediumHigh","Medium","High","Low"
"126",126,"Russian Federation",643,47.50211152,0.72923711,335.3554825,143479.273,10732.17782,0.00233731,0.000331073,5.08e-06,NA,NA,NA,"MediumHigh","Medium","High","Low"
"127",127,"Rwanda",646,19.87933685,2.823877087,6.839562204,10039.338,574.9670743,0.000681276,0.001980144,0.000281281,NA,NA,NA,"Low","High","Medium","High"
"128",128,"Saint Lucia",662,0.042010855,0.004549929,0.208438021,174.092,8044.121407,0.001197287,0.000241314,2.61e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"129",129,"Samoa",882,0.029218974,0.004976406,0.129494272,185.944,3722.141969,0.000696415,0.000157139,2.68e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"130",130,"Sao Tome and Principe",678,0.218222643,0.026667978,0.09960023,180.372,1094.710487,0.000552193,0.001209848,0.00014785,NA,NA,NA,"MediumLow","Medium","Medium","High"
"131",131,"Saudi Arabia",682,2.117349866,0.102209006,8.878721661,27421.468,19262.55252,0.000323787,7.72e-05,3.73e-06,NA,NA,NA,"High","Low","Low","Low"
"132",132,"Senegal",686,22.46513617,1.990557271,4.864332175,12678.143,1319.168533,0.000383679,0.001771958,0.000157007,NA,NA,NA,"MediumLow","High","Low","High"
"133",133,"Serbia",688,0.556288405,0.087300751,23.29814145,8991.258,5411.87473,0.002591199,6.19e-05,9.71e-06,NA,NA,NA,"MediumHigh","Low","High","Medium"
"134",134,"Seychelles",690,0.017461669,0.001669611,0.125557039,91.273,10628.11775,0.001375621,0.000191313,1.83e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"135",135,"Sierra Leone",694,36.6076834,2.404503364,2.11581112,6415.636,401.8349987,0.00032979,0.00570601,0.000374788,NA,NA,NA,"Low","High","Low","High"
"136",136,"Singapore",702,0.276605193,0.001576394,6.66238166,5131.17,46075.30935,0.001298414,5.39e-05,3.07e-07,NA,NA,NA,"High","Low","Medium","Low"
"137",137,"Slovakia",703,0.382503231,0.008165362,12.21584491,5404.293,16687.46867,0.002260396,7.08e-05,1.51e-06,NA,NA,NA,"High","Low","High","Low"
"138",138,"Slovenia",705,0.09475836,0.008088906,5.964684466,2043.336,23569.90107,0.002919091,4.64e-05,3.96e-06,NA,NA,NA,"High","Low","High","Low"
"139",139,"Solomon Islands",90,0.304366874,0.017160762,0.319963742,527.861,1363.28109,0.000606152,0.000576604,3.25e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"140",140,"Somalia",706,49.0927125,11.51121546,5.268901053,12043.886,90.73356305,0.000437475,0.004076152,0.000955773,NA,NA,NA,"Low","High","Low","High"
"141",141,"South Africa",710,258.0156374,4.104538112,47.971883,51216.967,7328.592736,0.00093664,0.005037698,8.01e-05,NA,NA,NA,"MediumHigh","High","Medium","Medium"
"142",142,"South Sudan",728,45.48557142,3.232609754,6.173351321,9508.372,1576.125753,0.000649254,0.004783739,0.000339975,NA,NA,NA,"MediumLow","High","Medium","High"
"143",143,"Spain",724,5.869880179,0.931019866,106.2646199,46931.011,30272.56142,0.002264273,0.000125075,1.98e-05,NA,NA,NA,"High","Low","High","Medium"
"144",144,"Sri Lanka",144,4.205721012,0.167443083,17.61696633,20261.738,2799.649154,0.00086947,0.00020757,8.26e-06,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"145",145,"Sudan",729,48.54164755,1.198909706,14.41605946,34545.014,1582.809233,0.000417312,0.001405171,3.47e-05,NA,NA,NA,"MediumLow","Medium","Low","Medium"
"146",146,"Suriname",740,0.24985653,0.014027091,0.545232933,529.126,8255.757754,0.001030441,0.000472206,2.65e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"147",147,"Sweden",752,1.564138099,0.220030189,22.69312819,9390.157,52749.70801,0.002416693,0.000166572,2.34e-05,NA,NA,NA,"High","Medium","High","Medium"
"148",148,"Switzerland",756,0.631055556,0.112664925,16.89175571,7808.674,74760.82407,0.002163204,8.08e-05,1.44e-05,NA,NA,NA,"High","Low","High","Medium"
"149",149,"Syrian Arab Republic",760,1.842028224,0.143560892,13.97290107,21362.541,2830.428555,0.000654084,8.62e-05,6.72e-06,NA,NA,NA,"MediumLow","Low","Medium","Low"
"150",150,"Tajikistan",762,3.400099993,0.206307709,4.111613604,7527.397,749.5523492,0.00054622,0.000451697,2.74e-05,NA,NA,NA,"Low","Medium","Medium","Medium"
"151",151,"Thailand",764,42.76870982,0.715301468,83.10241224,67195.032,5076.337964,0.001236734,0.000636486,1.06e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"152",152,"Togo",768,22.88233265,1.123240341,2.652941961,6421.674,533.5087687,0.000413123,0.003563297,0.000174914,NA,NA,NA,"Low","High","Low","High"
"153",153,"Tonga",776,0.022749372,0.004864751,0.113709156,103.981,3595.429846,0.001093557,0.000218784,4.68e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"154",154,"Trinidad and Tobago",780,0.44854868,0.067547291,1.778293241,1328.144,16701.76726,0.001338931,0.000337726,5.09e-05,NA,NA,NA,"High","Medium","Medium","Medium"
